Zaman(s);Hata_e(t);Cikis_u(t);Hiz(m/s)
12.8600;0.9185;-0.7367;17.6456
12.8800;0.9862;-0.3382;17.6456
12.9000;1.0371;-0.3202;17.6456
12.9200;0.9456;-0.6992;17.6456
12.9400;1.0120;-0.3095;17.6456
12.9600;1.0620;-0.2912;17.6456
12.9800;0.9688;-0.6735;17.6456
13.0000;1.0345;-0.2826;17.6456
13.0200;1.0837;-0.2652;17.6456
13.0400;0.9972;-0.6255;17.6456
13.0600;1.0621;-0.2505;17.6456
13.0800;0.9823;-0.6227;17.6456
13.1000;1.0490;-0.2555;17.6456
13.1200;1.0973;-0.2432;17.6380
13.1400;1.0205;-0.5725;17.6386
13.1600;1.0863;-0.2140;17.6429
13.1800;1.1339;-0.2020;17.6431
13.2000;1.0577;-0.5277;17.6433
13.2200;1.1212;-0.1776;17.6434
13.2400;1.1665;-0.1677;17.6435
13.2600;1.0921;-0.4831;17.6436
13.2800;1.1554;-0.1375;17.6438
13.3000;1.2007;-0.1268;17.6438
13.3200;1.1267;-0.4411;17.6364
13.3400;1.1885;-0.1006;17.6370
13.3600;1.2267;-0.1085;17.6414
13.3800;1.1475;-0.4242;17.6502
13.4000;1.2048;-0.0866;17.6487
13.4200;1.1301;-0.4273;17.6481
13.4400;1.1862;-0.1028;17.6477
13.4600;1.2281;-0.0879;17.6474
13.4800;1.1535;-0.3971;17.6472
13.5000;1.2095;-0.0728;17.6469
13.5200;1.2465;-0.0724;17.6467
13.5400;1.1730;-0.3682;17.6465
13.5600;1.2259;-0.0555;17.6463
13.5800;1.2677;-0.0342;17.6499
13.6000;1.1917;-0.3475;17.6466
13.6200;1.2470;-0.0223;17.6625
13.6400;1.2842;-0.0197;17.6527
13.6600;1.2094;-0.3198;17.6522
13.6800;1.2626;-0.0038;17.6517
13.7000;1.2993;0.0017;17.6513
13.7200;1.2274;-0.2886;17.6509
13.7400;1.2838;0.0317;17.6423
13.7600;1.2142;-0.2922;17.6426
13.7800;1.2688;0.0180;17.6429
13.8000;1.3074;0.0262;17.6433
13.8200;1.2381;-0.2600;17.6436
13.8400;1.2880;0.0351;17.6875
13.8600;1.3272;0.0545;17.6786
13.8800;1.2561;-0.2382;17.6826
13.9000;1.3049;0.0574;17.6805
13.9200;1.3429;0.0756;17.6775
13.9400;1.2708;-0.2178;17.6746
13.9600;1.3271;0.1025;17.6278
13.9800;1.3632;0.0995;17.6268
14.0000;1.2885;-0.1978;17.6281
14.0200;1.3402;0.1141;17.6297
14.0400;1.3759;0.1194;17.6313
14.0600;1.2994;-0.1825;17.6327
14.0800;1.3452;0.1151;17.6340
14.1000;1.2726;-0.1960;17.6352
14.1200;1.3230;0.1078;17.6362
14.1400;1.3579;0.1131;17.6372
14.1600;1.2848;-0.1769;17.6380
14.1800;1.3347;0.1260;17.6388
14.2000;1.3690;0.1309;17.6395
14.2200;1.2941;-0.1632;17.6401
14.2400;1.3437;0.1422;17.6406
14.2600;1.3774;0.1462;17.6411
14.2800;1.3009;-0.1518;17.6416
14.3000;1.3502;0.1561;17.6420
14.3200;1.3836;0.1596;17.6423
14.3400;1.3055;-0.1426;17.6427
14.3600;1.3545;0.1680;17.6429
14.3800;1.2737;-0.1740;17.6432
14.4000;1.3174;0.1256;17.6434
14.4200;1.3509;0.1407;17.6437
14.4400;1.2710;-0.1673;17.6439
14.4600;1.3198;0.1463;17.6441
14.4800;1.3523;0.1479;17.6442
14.5000;1.2766;-0.1452;17.6444
14.5200;1.3189;0.1402;17.6445
14.5400;1.3465;0.1400;17.6446
14.5600;1.2661;-0.1572;17.6447
14.5800;1.3134;0.1526;17.6448
14.6000;1.3445;0.1532;17.6449
14.6200;1.2658;-0.1463;17.6450
14.6400;1.3094;0.1491;17.6450
14.6600;1.3366;0.1450;17.6451
14.6800;1.2532;-0.1604;17.6451
14.7000;1.3007;0.1560;17.6452
14.7200;1.2245;-0.1693;17.6452
14.7400;1.2708;0.1291;17.6453
14.7600;1.3016;0.1304;17.6453
14.7800;1.2222;-0.1705;17.6453
14.8000;1.2644;0.1219;17.6454
14.8200;1.2967;0.1364;17.6454
14.8400;1.2218;-0.1542;17.6454
14.8600;1.2686;0.1431;17.6454
14.8800;1.2945;-0.0536;17.6454
14.9000;1.2304;-1.3341;17.6455
14.9200;1.3484;-0.9598;17.6455
14.9400;1.4473;-0.9958;17.6455
14.9600;1.4432;-1.2032;17.6455
14.9800;1.5585;-0.9564;17.6455
15.0000;1.6649;-0.9714;17.6455
15.0200;1.6579;-1.1993;17.6455
15.0400;1.7751;-0.9424;17.6455
15.0600;1.7721;-1.1841;17.6455
15.0800;1.8948;-0.9238;17.6455
15.1000;2.0039;-0.9478;17.6455
15.1200;2.0046;-1.1646;17.6455
15.1400;2.1330;-0.9000;17.6455
15.1600;2.2509;-0.9169;17.6455
15.1800;2.2545;-1.1455;17.6455
15.2000;2.3891;-0.8734;17.6455
15.2200;2.5102;-0.8961;17.6455
15.2400;2.5131;-1.1320;17.6455
15.2600;2.6516;-0.8504;17.6455
15.2800;2.7781;-0.8690;17.6455
15.3000;2.7801;-1.1175;17.6455
15.3200;2.9300;-0.8100;17.6455
15.3400;3.0683;-0.8275;17.6455
15.3600;3.0665;-1.1072;17.6455
15.3800;3.2244;-0.7749;17.6455
15.4000;3.2222;-1.0951;17.6455
15.4200;3.3817;-0.7585;17.6456
15.4400;3.5283;-0.7777;17.6455
15.4600;3.5235;-1.0796;17.6456
15.4800;3.6910;-0.7205;17.6455
15.5000;3.8449;-0.7408;17.6455
15.5200;3.8342;-1.0688;17.6455
15.5400;4.0104;-0.6795;17.6457
15.5600;4.1717;-0.5855;17.6456
15.5800;4.1470;-0.6695;17.6455
15.6000;4.3075;-0.0008;17.6455
15.6200;4.4374;0.2649;17.6456
15.6400;4.3542;-0.1696;17.6455
15.6600;4.4882;0.2733;17.6456
15.6800;4.6076;0.2436;17.6456
15.7000;4.5151;-0.1888;17.6456
15.7200;4.6597;0.2951;17.6456
15.7400;4.5634;-0.1964;17.6456
15.7600;4.7068;0.2925;17.6456
15.7800;4.8263;0.2438;17.6531
15.8000;4.7220;-0.2127;17.6525
15.8200;4.8707;0.3034;17.6501
15.8400;4.9946;0.2526;17.6597
15.8600;4.8722;-0.2497;17.6605
15.8800;5.0277;0.3174;17.6594
15.9000;5.1743;0.2991;17.5745
15.9200;5.0587;-0.2360;17.4957
15.9400;5.2314;0.3523;17.4346
15.9600;5.3796;0.3025;17.3709
15.9800;5.2462;-0.2722;17.3092
16.0000;5.4216;0.3578;17.2788
16.0200;5.5677;0.2982;17.2549
16.0400;5.4181;-0.3052;17.2124
16.0600;5.6046;0.3804;17.1672
16.0800;5.7571;0.3110;17.1140
16.1000;5.5857;-0.3496;17.0728
16.1200;5.7994;0.4361;17.0073
16.1400;5.9632;0.3340;16.9956
16.1600;5.7892;-0.3550;16.9644
16.1800;5.9910;0.4117;16.9411
16.2000;5.8105;-0.3681;16.9129
16.2200;5.9898;0.1106;16.9446
16.2400;6.1392;0.0938;17.0155
16.2600;5.9748;-0.1051;16.9463
16.2800;6.1536;0.1143;16.9041
16.3000;6.3212;0.1072;16.8857
16.3200;6.1246;-0.1346;16.8612
16.3400;6.3042;0.1310;16.8416
16.3600;6.4822;0.1399;16.8208
16.3800;6.2811;-0.1716;16.7894
16.4000;6.4697;0.1779;16.7813
16.4200;6.6477;0.2242;16.7747
16.4400;6.4391;-0.3496;16.7427
16.4600;6.6569;0.4116;16.7316
16.4800;6.8483;0.3827;16.7093
16.5000;6.6206;-0.4554;16.7051
16.5200;6.8528;0.4644;16.6808
16.5400;7.0281;0.3507;16.6691
16.5600;6.7786;-0.4989;16.6559
16.5800;7.0057;0.4542;16.6189
16.6000;7.1769;0.3424;16.6077
16.6200;6.9074;-0.5391;16.5952
16.6400;7.1287;0.4426;16.5884
16.6600;7.3075;0.3575;16.5788
16.6800;7.0058;-0.6033;16.6638
16.7000;7.2457;0.4799;16.6381
16.7200;7.4311;0.3706;16.6213
16.7400;7.1520;-0.5581;16.6047
16.7600;7.3887;0.4734;16.5946
16.7800;7.5734;0.3694;16.5818
16.8000;7.2759;-0.5950;16.5675
16.8200;7.5094;0.4670;16.5590
16.8400;7.6947;0.3706;16.5482
16.8600;7.3909;-0.6076;16.5350
16.8800;7.6354;0.4890;16.5274
16.9000;7.8288;0.3868;16.5180
16.9200;7.5173;-0.6229;16.5056
16.9400;7.7668;0.4990;16.4992
16.9600;7.9634;0.3932;16.4902
16.9800;7.6424;-0.6421;16.4786
17.0000;7.9108;0.5369;16.4721
17.0200;8.1253;0.4290;16.4637
17.0400;7.8073;-0.6360;16.4518
17.0600;8.0734;0.5322;16.4460
17.0800;8.2796;0.4123;16.4372
17.1000;7.9267;-0.7056;16.4250
17.1200;8.1747;0.4959;16.4199
17.1400;8.3678;0.3862;16.4117
17.1600;8.5863;0.4370;16.4010
17.1800;8.2081;-0.7563;16.3876
17.2000;8.4241;0.4319;16.5439
17.2200;8.6664;0.4847;16.4935
17.2400;8.2918;-0.7492;16.4668
17.2600;8.5783;0.5729;16.4528
17.2800;8.8016;0.4467;16.4377
17.3000;8.4152;-0.7728;16.4199
17.3200;8.7046;0.5788;16.4101
17.3400;8.9301;0.4511;16.3972
17.3600;8.5270;-0.8064;16.3807
17.3800;8.8138;0.5737;16.3731
17.4000;9.0376;0.4476;16.3627
17.4200;8.6302;-0.8147;16.3478
17.4400;8.9256;0.5908;16.3417
17.4600;9.1547;0.4582;16.3315
17.4800;8.7388;-0.8318;16.3177
17.5000;9.0373;0.5968;16.3132
17.5200;9.2683;0.4620;16.3041
17.5400;8.8431;-0.8503;16.2928
17.5600;9.1448;0.6034;16.2891
17.5800;9.3893;0.4890;16.2795
17.6000;8.9649;-0.8489;16.2685
17.6200;9.2748;0.6198;16.2646
17.6400;9.5115;0.4733;16.2558
17.6600;9.0716;-0.8796;16.2447
17.6800;9.3861;0.6288;16.2417
17.7000;9.6283;0.4845;16.2347
17.7200;9.1836;-0.8894;16.2236
17.7400;9.4730;0.5788;16.2700
17.7600;9.7193;0.4927;16.2532
17.7800;9.2685;-0.9017;16.2383
17.8000;9.5838;0.6306;16.2323
17.8200;9.8249;0.4823;16.2241
17.8400;9.3662;-0.9175;16.2117
17.8600;9.6838;0.6352;16.2071
17.8800;9.9263;0.4851;16.1999
17.9000;9.4602;-0.9322;16.1882
17.9200;9.7698;0.6191;16.1838
17.9400;10.0046;0.4696;16.1780
17.9600;9.5268;-0.9557;16.1674
17.9800;9.8475;0.6414;16.1644
18.0000;10.0935;0.4919;16.1552
18.0200;9.6128;-0.9613;16.1458
18.0400;9.9368;0.6480;16.1430
18.0600;10.1823;0.4910;16.1379
18.0800;10.4553;0.5461;16.1282
18.1000;9.9371;-1.0365;16.1148
18.1200;10.2824;0.6907;16.1102
18.1400;10.5442;0.5235;16.1027
18.1600;10.0260;-1.0364;16.0900
18.1800;10.3766;0.7012;16.0866
18.2000;10.6403;0.5273;16.0808
18.2200;10.1131;-1.0543;16.0657
18.2400;10.4508;0.6754;16.0646
18.2600;10.7073;0.5129;16.0580
18.2800;10.1685;-1.0774;16.0468
18.3000;10.4839;0.6307;16.1068
18.3200;10.7594;0.5510;16.0860
18.3400;10.2235;-1.0717;16.0710
18.3600;10.5735;0.6999;16.0695
18.3800;10.8401;0.5332;16.0602
18.4000;10.2985;-1.0831;16.0483
18.4200;10.6498;0.7025;16.0478
18.4400;10.9169;0.5342;16.0394
18.4600;10.3703;-1.0932;16.0283
18.4800;10.7227;0.7048;16.0287
18.5000;10.9849;0.5244;16.0212
18.5200;10.4301;-1.1096;16.0108
18.5400;10.7843;0.7084;16.0118
18.5600;11.0536;0.5387;16.0053
18.5800;10.5005;-1.1063;15.9954
18.6000;10.8574;0.7137;15.9964
18.6200;11.1276;0.5404;15.9903
18.6400;11.4273;0.5995;15.9806
18.6600;10.8348;-1.1849;15.9669
18.6800;11.2147;0.7596;15.9646
18.7000;11.5014;0.5736;15.9564
18.7200;10.9127;-1.1775;15.9439
18.7400;11.2975;0.7696;15.9422
18.7600;11.5854;0.5758;15.9352
18.7800;10.9839;-1.2030;15.9237
18.8000;11.3525;0.7372;15.9229
18.8200;11.6285;0.5521;15.9168
18.8400;11.0189;-1.2194;15.9053
18.8600;11.2556;0.4736;16.1368
18.8800;11.5656;0.6199;16.1087
18.9000;10.9849;-1.1613;16.0748
18.9200;11.3648;0.7597;16.0652
18.9400;11.6550;0.5803;16.0470
18.9600;11.0613;-1.1874;16.0278
18.9800;11.4414;0.7602;16.0225
19.0000;11.7302;0.5776;16.0079
19.0200;11.1300;-1.2004;15.9915
19.0400;11.5101;0.7601;15.9887
19.0600;11.7936;0.5671;15.9762
19.0800;11.1850;-1.2173;15.9620
19.1000;11.5664;0.7628;15.9614
19.1200;11.8559;0.5790;15.9510
19.1400;12.1764;0.6409;15.9383
19.1600;11.5305;-1.2917;15.9213
19.1800;11.9359;0.8107;15.9190
19.2000;12.2432;0.6147;15.9066
19.2200;11.5942;-1.2980;15.8917
19.2400;11.9992;0.8099;15.8912
19.2600;12.3055;0.6127;15.8807
19.2800;11.6531;-1.3049;15.8675
19.3000;12.0606;0.8150;15.8685
19.3200;12.3666;0.6121;15.8595
19.3400;11.7107;-1.3119;15.8471
19.3600;12.1132;0.8051;15.8491
19.3800;12.4163;0.6061;15.8410
19.4000;11.7614;-1.3098;15.8301
19.4200;12.1657;0.8086;15.8327
19.4400;12.4125;0.4938;15.9078
19.4600;11.7808;-1.2635;15.8761
19.4800;12.1830;0.8043;15.8738
19.5000;12.4873;0.6087;15.8636
19.5200;11.8335;-1.3076;15.8507
19.5400;12.2369;0.8067;15.8513
19.5600;12.5398;0.6058;15.8432
19.5800;12.8766;0.6736;15.8315
19.6000;12.1806;-1.3920;15.8152
19.6200;12.6081;0.8550;15.8136
19.6400;12.9271;0.6380;15.8028
19.6600;12.2291;-1.3959;15.7886
19.6800;12.6519;0.8455;15.7929
19.7000;12.9720;0.6403;15.7829
19.7200;12.2717;-1.4007;15.7700
19.7400;12.6944;0.8454;15.7723
19.7600;13.0136;0.6384;15.7610
19.7800;12.3107;-1.4057;15.7491
19.8000;12.7311;0.8408;15.7536
19.8200;13.0473;0.6324;15.7455
19.8400;12.3438;-1.4069;15.7352
19.8600;12.7661;0.8445;15.7405
19.8800;13.0822;0.6322;15.7333
19.9000;12.3794;-1.4054;15.7240
19.9200;12.7981;0.8373;15.7296
19.9400;13.1119;0.6276;15.7232
19.9600;13.4599;0.6960;15.7141
19.9800;12.7110;-1.4979;15.6997
20.0000;13.1507;0.8794;15.7022
20.0200;13.4726;0.6439;15.7050
20.0400;12.7336;-1.4781;15.6907
20.0600;13.1735;0.8799;15.6941
20.0800;13.5040;0.6611;15.6849
20.1000;12.7632;-1.4818;15.6733
20.1200;13.2014;0.8764;15.6779
20.1400;13.5298;0.6569;15.6701
20.1600;12.7901;-1.4795;15.6595
20.1800;13.2262;0.8724;15.6651
20.2000;13.5499;0.6474;15.6581
20.2200;12.8111;-1.4778;15.6485
20.2400;13.2435;0.8648;15.6585
20.2600;13.5691;0.6512;15.6528
20.2800;13.9322;0.7263;15.6412
20.3000;13.1526;-1.5593;15.6291
20.3200;13.6138;0.9226;15.6293
20.3400;13.9557;0.6837;15.6216
20.3600;13.1827;-1.5459;15.6067
20.3800;13.6392;0.9129;15.6088
20.4000;13.9745;0.6706;15.6064
20.4200;13.2099;-1.5293;15.5911
20.4400;13.6623;0.9048;15.5957
20.4600;13.9918;0.6590;15.5967
20.4800;13.2262;-1.5312;15.5848
20.5000;13.6758;0.8991;15.5870
20.5200;14.0063;0.6610;15.5838
20.5400;13.2464;-1.5197;15.5744
20.5600;13.8040;1.1151;15.4361
20.5800;14.0308;0.4536;15.5523
20.6000;14.5839;1.1061;15.3402
20.6200;13.7605;-1.6468;15.2993
20.6400;14.2341;0.9472;15.3050
20.6600;14.5736;0.6791;15.3133
20.6800;13.7581;-1.6311;15.3143
20.7000;14.2215;0.9268;15.3283
20.7200;14.5608;0.6787;15.3345
20.7400;13.7645;-1.5927;15.3340
20.7600;14.2185;0.9081;15.3459
20.7800;14.5539;0.6707;15.3503
20.8000;13.7924;-1.5230;15.3501
20.8200;14.2489;0.9131;15.3600
20.8400;14.5884;0.6789;15.3619
20.8600;14.9683;0.7598;15.3568
20.8800;14.1986;-1.5393;15.3477
20.9000;14.6788;0.9603;15.3518
20.9200;15.0401;0.7226;15.3472
20.9400;14.3144;-1.4513;15.3369
20.9600;14.7897;0.9505;15.3401
20.9800;15.1593;0.7394;15.3342
21.0000;14.4903;-1.3381;15.3231
21.0200;14.9641;0.9475;15.3240
21.0400;15.3258;0.7235;15.3208
21.0600;14.7162;-1.2191;15.3097
21.0800;15.1856;0.9388;15.3071
21.1000;15.5521;0.7330;15.3003
21.1200;15.9585;0.8127;15.2862
21.1400;15.4314;-1.0541;15.2012
21.1600;15.8906;0.9183;15.2463
21.1800;16.2856;0.7901;15.2423
21.2000;15.8784;-0.8145;15.0983
21.2200;16.3606;0.9645;15.0902
21.2400;16.7623;0.8033;15.0804
21.2600;16.3795;-0.7657;15.0646
21.2800;16.8668;0.9748;15.0559
21.3000;17.2713;0.8088;15.0420
21.3200;17.7133;0.8842;15.0216
21.3400;17.4286;-0.5695;14.9959
21.3600;17.9412;1.0253;14.9764
21.3800;18.3884;0.8944;14.9543
21.4000;18.2811;-0.2147;14.9254
21.4200;18.7880;1.0140;14.8971
21.4400;19.2528;0.9296;14.8685
21.4600;19.3583;0.2110;14.8295
21.4800;19.8556;0.9945;14.7953
21.5000;20.3467;0.9822;14.7574
21.5200;20.8702;1.0470;14.7118
21.5400;21.1705;0.6007;14.6661
21.5600;21.6953;1.0496;14.6179
21.5800;22.2189;1.0471;14.5698
21.6000;22.7542;1.0706;14.5139
21.6200;23.2655;1.0226;14.4549
21.6400;23.8082;1.0855;14.3928
21.6600;24.3863;1.1562;14.2553
21.6800;25.1073;1.4420;14.2130
21.7000;25.6413;1.0680;14.1559
21.7200;26.2354;1.1882;14.0897
21.7400;27.2089;1.9470;14.0285
21.7600;27.6641;0.9105;13.7581
21.7800;28.3082;1.2883;13.6704
21.8000;28.9670;1.3175;13.5935
21.8200;29.9999;2.0658;13.5148
21.8400;30.5931;1.1864;13.4286
21.8600;31.2749;1.3636;13.3388
21.8800;31.9852;1.4207;13.2512
21.9000;33.1587;1.9404;13.1638
21.9200;33.8081;0.7006;13.0519
21.9400;34.5737;0.4292;12.9565
21.9600;35.3832;0.2805;12.8369
21.9800;36.6951;0.1737;12.7251
22.0000;37.5028;0.0000;12.6173
22.0200;38.3648;0.0000;12.5209
22.0400;39.2728;0.0000;12.4344
22.0600;40.6441;0.0000;12.3149
22.0800;41.5454;0.0000;12.2480
22.1000;42.4824;0.0000;12.1878
22.1200;43.4626;0.0000;12.1335
22.1400;44.8821;0.0000;12.0847
22.1600;45.8515;0.0000;12.0408
22.1800;46.8546;0.0000;12.0013
22.2000;47.8955;0.0000;11.9657
22.2200;49.3023;0.0000;11.9337
22.2400;50.3275;0.0000;11.9049
22.2600;51.3819;0.0000;11.8790
22.2800;52.4764;0.0000;11.8556
22.3000;53.6062;0.0000;11.8346
22.3200;54.8831;0.0000;11.8157
22.3400;55.9747;0.0000;11.7987
22.3600;57.1019;0.0000;11.7834
22.3800;58.2545;0.0000;11.7696
22.4000;59.4215;0.0000;11.7572
22.4200;60.5342;0.0000;11.7461
22.4400;61.6729;0.0000;11.7360
22.4600;62.8439;0.0000;11.7270
22.4800;64.0353;0.0000;11.7188
22.5000;65.0015;0.0000;11.7115
22.5200;66.1473;0.0000;11.7049
22.5400;67.3133;0.0000;11.6990
22.5600;68.4952;0.0000;11.6937
22.5800;69.7012;0.0000;11.6889
22.6000;70.9218;0.0000;11.6845
22.6200;71.5753;0.0000;11.6806
22.6400;72.7393;0.0000;11.6771
22.6600;73.9137;0.0000;11.6740
22.6800;75.1021;0.0000;11.6712
22.7000;76.3038;0.0000;11.6686
22.7200;76.7169;0.0000;11.6663
22.7400;77.8545;0.0000;11.6642
22.7600;79.0018;0.0000;11.6624
22.7800;80.1578;0.0000;11.6607
22.8000;81.3221;0.0000;11.6592
22.8200;82.4980;0.0000;11.6578
22.8400;83.6758;0.0000;11.6566
22.8600;83.7202;0.0000;11.6555
22.8800;84.8296;0.0000;11.6545
22.9000;85.9428;0.0000;11.6536
22.9200;87.0590;0.0000;11.6528
22.9400;88.1774;0.0000;11.6521
22.9600;89.2971;0.0000;11.6515
22.9800;89.5186;0.0000;11.6509
23.0000;89.5470;0.0000;11.6503
23.0200;89.5470;0.0000;11.6499
23.0400;89.5469;0.0000;11.6495
23.0600;89.5469;0.0000;11.6491
23.0800;89.5469;0.0000;11.6487
23.1000;89.5469;0.0000;11.6484
23.1200;89.5469;0.0000;11.6481
23.1400;89.5469;0.0000;11.6479
23.1600;89.5725;0.0000;11.6476
23.1800;89.5725;0.0000;11.6474
23.2000;89.5725;0.0000;11.6473
23.2200;89.5725;0.0000;11.6471
23.2400;89.5725;0.0000;11.6470
23.2600;89.5725;0.0000;11.6468
23.2800;89.5725;0.0000;11.6467
23.3000;89.5725;0.0000;11.6466
23.3200;89.5725;0.0000;11.6465
23.3400;89.5958;0.0000;11.6464
23.3600;89.5958;0.0000;11.6463
23.3800;89.5958;0.0000;11.6462
23.4000;89.5958;0.0000;11.6462
23.4200;89.5958;0.0000;11.6461
23.4400;89.5958;0.0000;11.6461
23.4600;89.5958;0.0000;11.6460
23.4800;89.5958;0.0000;11.6460
23.5000;89.5958;0.0000;11.6460
23.5200;89.5958;0.0000;11.6459
23.5400;89.5958;0.0000;11.6459
23.5600;89.6172;0.0000;11.6459
23.5800;89.6172;0.0000;11.6459
23.6000;89.6172;0.0000;11.6458
23.6200;89.6172;0.0000;11.6458
23.6400;89.6172;0.0000;11.6458
23.6600;89.6172;0.0000;11.6458
23.6800;89.6172;0.0000;11.6457
23.7000;89.6172;0.0000;11.6457
23.7200;89.6173;0.0000;11.6457
23.7400;89.6173;0.0000;11.6457
23.7600;89.6173;0.0000;11.6457
23.7800;89.6173;0.0000;11.6457
23.8000;89.6370;0.0000;11.6457
23.8200;89.6370;0.0000;11.6457
23.8400;89.6370;0.0000;11.6457
23.8600;89.6370;0.0000;11.6457
23.8800;89.6370;0.0000;11.6457
23.9000;89.6369;0.0000;11.6457
23.9200;89.6370;0.0000;11.6457
23.9400;89.6370;0.0000;11.6456
23.9600;89.6370;0.0000;11.6457
23.9800;89.5822;0.0000;0.3442
24.0000;89.5826;0.0000;0.0911
24.0200;89.5819;0.0000;0.1176
24.0400;89.5813;0.0000;0.1900
24.0600;89.5811;0.0000;0.0555
24.0800;89.5810;0.0000;0.0188
24.1000;89.5809;0.0000;0.0072
24.1200;89.5809;0.0000;0.0038
24.1400;89.5809;0.0000;0.0018
24.1600;89.5809;0.0000;0.0015
24.1800;89.5809;0.0000;0.0016
24.2000;89.5809;0.0000;0.0017
24.2200;89.5809;0.0000;0.0018
24.2400;89.5809;0.0000;0.0017
24.2600;89.5809;0.0000;0.0019
24.2800;89.5809;0.0000;0.0018
24.3000;89.5809;0.0000;0.0018
24.3200;89.5809;0.0000;0.0019
24.3400;89.5809;0.0000;0.0016
24.3600;89.5809;0.0000;0.0018
24.3800;89.5809;0.0000;0.0013
24.4000;89.5809;0.0000;0.0014
24.4200;89.5809;0.0000;0.0014
24.4400;89.5809;0.0000;0.0016
24.4600;89.5809;0.0000;0.0014
24.4800;89.5809;0.0000;0.0012
24.5000;89.5809;0.0000;0.0012
24.5200;89.5809;0.0000;0.0010
24.5400;89.5809;0.0000;0.0009
24.5600;89.5809;0.0000;0.0012
24.5800;89.5809;0.0000;0.0011
24.6000;89.5809;0.0000;0.0010
24.6200;89.5809;0.0000;0.0008
24.6400;89.5809;0.0000;0.0008
24.6600;89.5809;0.0000;0.0007
24.6800;89.5809;0.0000;0.0007
24.7000;89.5809;0.0000;0.0009
24.7200;89.5809;0.0000;0.0010
24.7400;89.5809;0.0000;0.0008
24.7600;89.5809;0.0000;0.0006
24.7800;89.5809;0.0000;0.0006
24.8000;89.5809;0.0000;0.0006
24.8200;89.5809;0.0000;0.0008
24.8400;89.5809;0.0000;0.0006
24.8600;89.5809;0.0000;0.0005
24.8800;89.5809;0.0000;0.0003
24.9000;89.5809;0.0000;0.0004
24.9200;89.5809;0.0000;0.0006
24.9400;89.5809;0.0000;0.0003
24.9600;89.5809;0.0000;0.0005
24.9800;89.5809;0.0000;0.0004
25.0000;89.5809;0.0000;0.0003
25.0200;89.5809;0.0000;0.0003
25.0400;89.5809;0.0000;0.0006
25.0600;89.5809;0.0000;0.0004
25.0800;89.5809;0.0000;0.0003
25.1000;89.5809;0.0000;0.0003
25.1200;89.5809;0.0000;0.0005
25.1400;89.5809;0.0000;0.0002
25.1600;89.5809;0.0000;0.0002
25.1800;89.5809;0.0000;0.0003
25.2000;89.5809;0.0000;0.0003
25.2200;89.5809;0.0000;0.0003
25.2400;89.5809;0.0000;0.0005
25.2600;89.5809;0.0000;0.0002
25.2800;89.5809;0.0000;0.0002
25.3000;89.5809;0.0000;0.0005
25.3200;89.5809;0.0000;0.0002
25.3400;89.5809;0.0000;0.0004
25.3600;89.5809;0.0000;0.0003
25.3800;89.5809;0.0000;0.0002
25.4000;89.5809;0.0000;0.0002
25.4200;89.5809;0.0000;0.0004
25.4400;89.5809;0.0000;0.0002
25.4600;89.5809;0.0000;0.0001
25.4800;89.5809;0.0000;0.0001
25.5000;89.5809;0.0000;0.0001
25.5200;89.5809;0.0000;0.0001
25.5400;89.5809;0.0000;0.0001
25.5600;89.5809;0.0000;0.0001
25.5800;89.5809;0.0000;0.0004
25.6000;89.5809;0.0000;0.0001
25.6200;89.5809;0.0000;0.0000
25.6400;89.5809;0.0000;0.0001
25.6600;89.5809;0.0000;0.0001
25.6800;89.5809;0.0000;0.0001
25.7000;89.5809;0.0000;0.0001
25.7200;89.5809;0.0000;0.0001
25.7400;89.5809;0.0000;0.0001
25.7600;89.5809;0.0000;0.0001
25.7800;89.5810;0.0000;0.0004
25.8000;89.5810;0.0000;0.0003
25.8200;89.5810;0.0000;0.0001
25.8400;89.5810;0.0000;0.0002
25.8600;89.5810;0.0000;0.0001
25.8800;89.5809;0.0000;0.0409
25.9000;89.5809;0.0000;0.0042
25.9200;89.5809;0.0000;0.0012
25.9400;89.5809;0.0000;0.0015
25.9600;89.5809;0.0000;0.0010
25.9800;89.5809;0.0000;0.0003
26.0000;89.5809;0.0000;0.0009
26.0200;89.5809;0.0000;0.0008
26.0400;89.5809;0.0000;0.0005
26.0600;89.5809;0.0000;0.0009
26.0800;89.5809;0.0000;0.0005
26.1000;89.5809;0.0000;0.0004
26.1200;89.5809;0.0000;0.0004
26.1400;89.5809;0.0000;0.0008
26.1600;89.5809;0.0000;0.0007
26.1800;89.5809;0.0000;0.0002
26.2000;89.5809;0.0000;0.0002
26.2200;89.5809;0.0000;0.0001
26.2400;89.5809;0.0000;0.0005
26.2600;89.5809;0.0000;0.0003
26.2800;89.5809;0.0000;0.0003
26.3000;89.5809;0.0000;0.0002
26.3200;89.5809;0.0000;0.0002
26.3400;89.5809;0.0000;0.0000
26.3600;89.5809;0.0000;0.0006
26.3800;89.5809;0.0000;0.0003
26.4000;89.5809;0.0000;0.0001
26.4200;89.5809;0.0000;0.0001
26.4400;89.5809;0.0000;0.0003
26.4600;89.5809;0.0000;0.0005
26.4800;89.5809;0.0000;0.0002
26.5000;89.5809;0.0000;0.0001
26.5200;89.5809;0.0000;0.0003
26.5400;89.5809;0.0000;0.0001
26.5600;89.5809;0.0000;0.0003
26.5800;89.5809;0.0000;0.0002
26.6000;89.5809;0.0000;0.0001
