Zaman(s);Hata_e(t);Cikis_u(t);Hiz(m/s)
3.0400;0.0952;0.0873;13.3961
3.0600;0.0904;0.0767;14.0600
3.0800;0.0875;0.0780;14.5516
3.1000;0.0831;0.0707;14.8073
3.1200;0.0793;0.0682;15.0975
3.1400;0.0719;0.0538;15.3698
3.1600;0.0684;0.0585;15.6164
3.1800;0.0612;0.0438;15.8378
3.2000;0.0502;0.0252;16.0373
3.2200;0.0472;0.0387;16.2159
3.2400;0.0441;0.0356;16.3754
3.2600;0.0341;0.0118;16.5197
3.2800;0.0326;0.0274;16.6486
3.3000;0.0300;0.0230;16.7648
3.3200;0.0178;-0.0088;16.8673
3.3400;0.0170;0.0137;16.9606
3.3600;0.0148;0.0088;17.0442
3.3800;0.0006;-0.0298;17.1190
3.4000;0.0060;0.0154;17.1858
3.4200;0.0059;0.0044;17.2463
3.4400;-0.0137;-0.0550;17.2995
3.4600;-0.0130;-0.0130;17.3479
3.4800;-0.0148;-0.0198;17.3914
3.5000;-0.0405;-0.0940;17.4304
3.5200;-0.0384;-0.0356;17.4654
3.5400;-0.0345;-0.0279;17.4967
3.5600;-0.0645;-0.1269;17.5249
3.5800;-0.0619;-0.0579;17.6397
3.6000;-0.1102;-0.2100;17.8833
3.6200;-0.1081;-0.1052;18.1051
3.6400;-0.1035;-0.0958;17.9894
3.6600;-0.1571;-0.2677;17.8999
3.6800;-0.1475;-0.1297;17.8797
3.7000;-0.1465;-0.1466;17.8743
3.7200;-0.2174;-0.3640;17.8702
3.7400;-0.2045;-0.1805;17.8689
3.7600;-0.2024;-0.2008;17.8659
3.7800;-0.2881;-0.4655;17.8661
3.8000;-0.2710;-0.2393;17.8647
3.8200;-0.2673;-0.2634;17.8638
3.8400;-0.3720;-0.5890;17.8628
3.8600;-0.3502;-0.3101;17.8630
3.8800;-0.4750;-0.7337;17.8610
3.9000;-0.4465;-0.3937;17.8573
3.9200;-0.4388;-0.4292;17.8588
3.9400;-0.5814;-0.8784;17.8579
3.9600;-0.5466;-0.4831;17.8571
3.9800;-0.5357;-0.5220;17.8546
4.0000;-0.7074;-1.0661;17.8550
4.0200;-0.6661;-0.5918;17.8539
4.0400;-0.6530;-0.6377;17.8544
4.0600;-0.8512;-1.2668;17.8544
4.0800;-0.8022;-0.7153;17.8530
4.1000;-0.7895;-0.7786;17.8539
4.1200;-1.0285;-1.5307;17.9357
4.1400;-1.0072;-0.9805;18.1537
4.1600;-1.2813;-1.8571;18.3099
4.1800;-1.1782;-0.9881;18.1386
4.2000;-1.1484;-1.1103;18.0923
4.2200;-1.4159;-1.9844;18.0712
4.2400;-1.3376;-1.2043;18.0561
4.2600;-1.3053;-1.2685;18.0426
4.2800;-1.5958;-2.2180;18.0302
4.3000;-1.5093;-1.3662;18.0195
4.3200;-1.4731;-1.4361;18.0095
4.3400;-1.7833;-2.4534;18.0010
4.3600;-1.6895;-1.5396;17.9933
4.3800;-2.0124;-2.7135;17.9864
4.4000;-1.9090;-1.7451;17.9803
4.4200;-1.8621;-1.8177;17.9749
4.4400;-2.1884;-2.9066;17.9697
4.4600;-2.0787;-1.9126;17.9656
4.4800;-2.0272;-1.9845;17.9612
4.5000;-2.3580;-3.0964;17.9578
4.5200;-2.2421;-2.0751;17.9542
4.5400;-2.1862;-2.1465;17.9513
4.5600;-2.5167;-3.2668;17.9487
4.5800;-2.3959;-2.2315;17.9465
4.6000;-2.3359;-2.3007;17.9443
4.6200;-2.6605;-3.4120;17.9424
4.6400;-2.5359;-2.3773;17.9407
4.6600;-2.8120;-3.4739;17.7999
4.6800;-2.6782;-2.5103;17.7639
4.7000;-2.6120;-2.5880;17.7762
4.7200;-2.9074;-3.6241;17.7875
4.7400;-2.7784;-2.6361;17.7975
4.7600;-2.7069;-2.6880;17.8063
4.7800;-2.9833;-3.6773;17.8142
4.8000;-2.8529;-2.7240;17.8214
4.8200;-2.7776;-2.7676;17.8276
4.8400;-3.0321;-3.6982;17.8352
4.8600;-2.9029;-2.7935;17.8420
4.8800;-2.8252;-2.8272;17.8441
